                                                        Casos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                               Estados Unidos Mexicanos
                                                                                                         2005
                                                                                                   Población General
                                                                                                                       Grupos de edad
          Estado                 <1             1-4            5-9            10 - 14        15 - 19         20 - 24       25 - 44      45 - 49   50 - 59   60 - 64   65 y +   Ign.   Total
Aguascalientes                    7              150            221             272            220             147           423           63       102        40       116      0    1 761
Baja California                   1               17             21              13             12              21            40           6         10        6         2       0     149
Baja California Sur               4               10             7               10             13              13            46           8         3         0         5       0     119
Campeche                          2               3              2               3              2               5             12           2         2         2         1       0      36
Coahuila                          4               11             10              15             15              20            40           6         8         1         5       0     135
Colima                            47             555            767            1 097          1 223           1 020         3 027         479       672       264       546      29   9 726
Chiapas                           6               31             14              26             30              29            90           23        15        11        11      0     286
Chihuahua                         6               36             48              37             26              28            73           23        23        7         18      0     325
Distrito Federal                  3               33             42              51             48              50           106           16        28        7         9       1     394
Durango                           25             420            581             730            728             590          1 591         300       374       136       300      0    5 775
Guanajuato                       183            2 207          2 855           3 342          3 167           2 943         7 396        1 061     1 544      566      1 142     13   26 419
Guerrero                         307            3 426          4 394           4 653          3 814           2 822         7 376        1 483     2 121      891      1 836     31   33 154
Hidalgo                           3               12             16              33             41              23            67           12        17        10        16      0     250
Jalisco                          372            4 279          5 278           6 485          6 022           4 985        13 493        2 077     3 194     1 279     2 805     44   50 313
México                            53             782            886             936            665             432          1 144         210       253       142       252      2    5 757
Michoacán                        207            2 617          3 335           3 814          3 422           2 543         6 273        1 150     1 592      646      1 422     15   27 036
Morelos                          274            2 964          3 770           3 788          3 554           3 061         7 774        1 536     2 095      950      1 748     45   31 559
Nayarit                          115            1 078          1 442           1 601          1 537           1 327         3 476         744       889       403       723     131   13 466
Nuevo León                        3               8              10              4              11              18            42           7         14        1         4       0     122
Oaxaca                            25             341            527             677            543             354          1 019         202       353       183       461      7    4 692
Puebla                            99            1 302          1 834           2 277          2 007           1 468         3 566         853      1 238      536      1 390     5    16 575
Querétaro                         39             298            325             408            376             438          1 281         136       243        66       163      0    3 773
Quintana Roo                      2               9              7               12             16              21            51           6         13        3         2       0     142
San Luis Potosí                   2               22             23              28             32              26           113           19        28        6         23      1     323
Sinaloa                           54             579            706             762            684             589          1 884         331       567       206       417      6    6 785
Sonora                            88             666            617             540            555             460          1 317         259       325       148       273      0    5 248
Tabasco                           0               1              1               3              5               5             15           1         7         0         0       0      38
Tamaulipas                        4               15             38              40             20              50            89           13        24        2         10      2     307
Tlaxcala                          1               5              5               4              3               4             12           1         0         0         2       0      37
Veracruz                          3               15             9               13             14              37            45           12        20        6         5       0     179
Yucatán                           0               5              1               5              6               6             21           5         4         1         4       0      58
Zacatecas                         25             242            324             389            374             318           679          165       212        89       220      0    3 037
TOTAL GLOBAL                    1 964          22 139         28 116          32 068         29 185          23 853        62 581       11 209    15 990    6 608     13 931   332    247 976
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

