                             Casos de Intoxicación por picadura de alacrán (T63.2, X22) por fuente de notificación
                                                                        Estados Unidos Mexicanos
                                                                                  2005
                                                                                Femenino
                                                                                              Fuente de notificación
          Estado               SALUD         IMSS-ORD          ISSSTE         IMSS-OP           DIF           PEMEX    SEDENA   SEMAR   OTRAS     Total
Aguascalientes                    893               15              0               0              0             0         0        0       0       908
Baja California                    14               31              4               4              0             0         1        0      24        78
Baja California Sur                49                0             14               0              0             0         0        0       0        63
Campeche                           11                1              4               7              0             0         1        0       0        24
Coahuila                           23               22              1               8              0             0         0        0      10        64
Colima                           3 219           1 077             45               0              0             0        12       51     104      4 508
Chiapas                           112                2             15              24              0             0         3        0       2       158
Chihuahua                          82               29              3              52              0             0         0        0      16       182
Distrito Federal                  181                8             25               0              1             0         1        1       7       224
Durango                          2 656               1              3             322              4             0         0        0       0      2 986
Guanajuato                       7 015           3 669            222               2              0             0        25        0    3 360    14 293
Guerrero                        13 683           2 276            641               4              0             0        15       29       0     16 648
Hidalgo                           132                0              1              15              0             1         0        0       2       151
Jalisco                         17 825           6 004             64               3              0             0        20        0    1 326    25 242
México                           2 722               0             11               1              5             0         2        0     186      2 927
Michoacán                        7 804           1 960            435            3 359             0             0        24       11       0     13 593
Morelos                         11 077           4 091            600              21              0             0         6        0       0     15 795
Nayarit                          4 154             607             48            1 244             2             0         4        0      10      6 069
Nuevo León                         15                9              0               0              0             0         0        0      33        57
Oaxaca                           1 631              49             48             912              1             1         3       15       2      2 662
Puebla                           5 994             733             62            1 891             0             2         0        0      33      8 715
Querétaro                         623            1 275             41               0              0             0         0        0      52      1 991
Quintana Roo                       41               16             17               0              0             0         0        0       0        74
San Luis Potosí                    78               60              1              46              0             2         2        0       3       192
Sinaloa                          1 495             922             69             854             10             0        24       15     391      3 780
Sonora                           2 054             741             72               2              0             0         3        0     121      2 993
Tabasco                             9                4              1               0              0             0         0        0       1        15
Tamaulipas                         94               29              0              12             12             4         2        3      26       182
Tlaxcala                           13                4              0               0              0             0         0        0       0        17
Veracruz                           61               25              0              16              0             0         1        0       0       103
Yucatán                            14                2              4               9              0             0         0        0       0        29
Zacatecas                        1 215              30              5             299              0             0         0        0       0      1 549
TOTAL GLOBAL                    84 989          23 692           2 456          9 107            35             10       149      125    5 709   126 272
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/ SSA

