Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,1960,26,0,N.A.,0,N.A.,0,N.A.,0,1986
Baja California,32,79,2,1,N.A.,N.A.,0,1,40,155
Baja California Sur,81,19,17,N.A.,N.A.,N.A.,1,2,N.A.,120
Campeche,90,19,12,3,0,0,0,0,1,125
Coahuila,90,68,4,10,0,N.A.,0,N.A.,13,185
Colima,7642,2418,85,N.A.,0,N.A.,7,78,131,10361
Chiapas,219,53,43,60,N.A.,0,0,6,10,391
Chihuahua,149,92,8,148,N.A.,N.A.,0,N.A.,16,413
Distrito Federal,360,32,60,0,0,0,9,1,19,481
Durango,5173,94,2,977,0,N.A.,2,N.A.,6,6254
Guanajuato,15561,6276,427,1,N.A.,37,52,N.A.,6278,28632
Guerrero,34065,4787,1226,2,N.A.,N.A.,50,11,N.A.,40141
Hidalgo,211,0,0,11,0,0,0,N.A.,6,228
Jalisco,38492,10806,116,5,0,0,16,2,4740,54177
México,7694,53,14,2,10,N.A.,2,N.A.,344,8119
Michoacán,17010,5426,791,7412,N.A.,N.A.,58,4,N.A.,30701
Morelos,23696,5657,1208,18,N.A.,N.A.,141,N.A.,N.A.,30720
Nayarit,9977,1238,163,3680,29,N.A.,20,1,20,15128
Nuevo León,65,125,2,0,N.A.,0,0,N.A.,41,233
Oaxaca,3678,149,162,1798,8,3,8,30,11,5847
Puebla,10550,953,100,3795,0,0,1,N.A.,44,15443
Querétaro,1218,2837,96,0,1,N.A.,0,N.A.,76,4228
Quintana Roo,40,38,8,N.A.,N.A.,N.A.,0,0,N.A.,86
San Luis Potosí,116,145,6,74,N.A.,0,0,N.A.,12,353
Sinaloa,3854,1507,179,2141,17,1,22,20,746,8487
Sonora,2869,1043,76,0,N.A.,N.A.,7,0,253,4248
Tabasco,24,25,3,N.A.,N.A.,0,1,0,0,53
Tamaulipas,156,82,12,25,2,4,3,0,23,307
Tlaxcala,46,6,0,0,0,N.A.,0,N.A.,0,52
Veracruz,138,66,2,34,0,0,2,0,N.A.,242
Yucatán,7,31,0,25,0,N.A.,0,0,0,63
Zacatecas,2895,95,8,992,0,N.A.,26,N.A.,1,4017
