Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,930,9,1,N.A.,0,N.A.,0,N.A.,0,940
Baja California,16,27,0,2,N.A.,N.A.,0,0,20,65
Baja California Sur,46,4,6,N.A.,N.A.,N.A.,0,1,N.A.,57
Campeche,8,2,0,2,0,0,1,0,1,14
Coahuila,23,40,2,8,0,N.A.,1,N.A.,4,78
Colima,3962,1263,47,N.A.,0,N.A.,4,30,29,5335
Chiapas,61,15,14,27,N.A.,0,1,18,7,143
Chihuahua,76,44,1,66,N.A.,N.A.,0,N.A.,4,191
Distrito Federal,142,13,30,0,2,0,7,0,8,202
Durango,2616,89,2,439,0,N.A.,5,N.A.,0,3151
Guanajuato,6314,4559,106,1,N.A.,15,21,N.A.,3824,14840
Guerrero,15737,2821,369,0,N.A.,N.A.,79,9,0,19015
Hidalgo,44,0,1,9,0,0,0,N.A.,1,55
Jalisco,19655,5546,81,0,0,0,56,3,2507,27848
México,2990,21,2,1,1,N.A.,1,N.A.,150,3166
Michoacán,8543,1276,355,3457,N.A.,N.A.,21,9,N.A.,13661
Morelos,12342,3367,636,11,N.A.,N.A.,47,N.A.,N.A.,16403
Nayarit,5557,937,76,2066,4,N.A.,56,0,20,8716
Nuevo León,26,43,0,0,0,0,0,N.A.,11,80
Oaxaca,1401,74,72,738,0,3,4,9,2,2303
Puebla,4350,486,60,2031,0,0,1,N.A.,32,6960
Querétaro,556,1092,45,0,1,N.A.,N.A.,N.A.,45,1739
Quintana Roo,22,21,6,N.A.,N.A.,N.A.,1,1,N.A.,51
San Luis Potosí,53,38,3,34,N.A.,0,0,N.A.,3,131
Sinaloa,1545,590,61,1042,1,1,15,7,357,3619
Sonora,1485,414,31,0,N.A.,N.A.,9,5,83,2027
Tabasco,10,5,1,N.A.,N.A.,0,2,0,2,20
Tamaulipas,82,31,8,9,0,1,2,1,0,134
Tlaxcala,16,10,0,0,0,N.A.,0,N.A.,0,26
Veracruz,72,59,2,25,0,0,1,0,N.A.,159
Yucatán,5,9,0,9,0,N.A.,0,1,0,24
Zacatecas,1393,41,4,474,0,N.A.,9,N.A.,1,1922
